No.	Centroid-x	Centroid-y	Area(pixel2)	Area(um2)	EQAD(um)
   1      10.27      17.07       752   1999.27    50.45 
   2       6.28      50.30       294    781.63    31.55 
   3      13.22      80.96       646   1717.46    46.76 
   4       5.69      97.71       279    741.75    30.73 
   5       7.58     119.48       296    786.95    31.65 
   6      14.17     147.82      1169   3107.91    62.91 
   7       8.13     177.18       275    731.12    30.51 
   8      62.39     220.85     15587  41439.70   229.70 
   9       4.98     266.93       268    712.51    30.12 
  10       2.00     294.69        84    223.32    16.86 
  11       9.74     315.72       489   1300.06    40.69 
  12       3.21     334.02        85    225.98    16.96 
  13      14.96     368.40       708   1882.29    48.96 
  14       2.89     372.80        73    194.08    15.72 
  15       7.90     384.26       205    545.01    26.34 
  16       3.98     399.40       149    396.13    22.46 
  17      20.37     426.07      2393   6362.05    90.00 
  18      10.69     472.64       731   1943.44    49.74 
  19       9.37     508.19       727   1932.81    49.61 
  20      32.17     527.93      1203   3198.30    63.81 
  21       8.85     296.18       104    276.50    18.76 
  22      11.56     281.14       230    611.48    27.90 
  23      34.16     345.73      2056   5466.10    83.42 
  24      30.80      39.37       609   1619.09    45.40 
  25      21.94     109.93       365    970.39    35.15 
  26      25.50     292.89       617   1640.36    45.70 
  27      35.29      65.19      1444   3839.03    69.91 
  28      23.56      20.91       196    521.09    25.76 
  29      22.35     314.35        52    138.25    13.27 
  30      24.28     491.72        76    202.05    16.04 
  31      26.08     321.44        92    244.59    17.65 
  32      28.53     477.39       245    651.36    28.80 
  33      30.88     506.38       321    853.41    32.96 
  34      39.83     462.85       464   1233.59    39.63 
  35      35.31       2.84       111    295.11    19.38 
  36      42.18     133.69      1098   2919.15    60.97 
  37      40.92      17.75       599   1592.51    45.03 
  38      43.99     487.05       616   1637.70    45.66 
  39      37.06     110.03       190    505.14    25.36 
  40      34.55      96.22       104    276.50    18.76 
  41      40.69     388.55       362    962.42    35.01 
  42      43.16      87.14       120    319.03    20.15 
  43      41.03     374.54        63    167.49    14.60 
  44      60.37     406.88       833   2214.62    53.10 
  45      53.53      98.71       499   1326.64    41.10 
  46      43.87     417.41       104    276.50    18.76 
  47      54.44     440.47       856   2275.77    53.83 
  48      50.21     500.87       158    420.06    23.13 
  49      51.99     369.97       233    619.46    28.08 
  50      60.01       3.32       189    502.48    25.29 
  51      58.23      37.20       462   1228.28    39.55 
  52      72.01      76.43      1230   3270.09    64.53 
  53      54.02     419.68       137    364.23    21.53 
  54      62.65     508.16       431   1145.86    38.20 
  55      58.89     384.93       293    778.97    31.49 
  56      54.86     538.29        35     93.05    10.88 
  57      67.43     463.79       664   1765.31    47.41 
  58      75.76     126.78      1946   5173.65    81.16 
  59      71.77      17.71       687   1826.46    48.22 
  60      68.63     524.24       360    957.10    34.91 
  61      82.63     328.97      2093   5564.46    84.17 
  62      71.93     364.96       530   1409.06    42.36 
  63      62.83     488.57       132    350.94    21.14 
  64      69.87      54.30       202    537.04    26.15 
  65      67.44     535.94       136    361.57    21.46 
  66      81.60     394.91       600   1595.16    45.07 
  67      67.29     428.50        32     85.08    10.41 
  68      86.03     491.53      1056   2807.49    59.79 
  69      78.05      37.66       299    794.92    31.81 
  70      84.69     424.36       828   2201.33    52.94 
  71      83.60     296.89       445   1183.08    38.81 
  72     127.40       9.55      1221   3246.16    64.29 
  73      86.88      99.43       255    677.94    29.38 
  74      93.36     377.83       656   1744.05    47.12 
  75      89.95     471.56       473   1257.52    40.01 
  76      97.40     519.63      1092   2903.20    60.80 
  77      90.32      55.36       481   1278.79    40.35 
  78      92.20     449.29       563   1496.80    43.66 
  79      84.70     536.72        96    255.23    18.03 
  80     114.59      31.48      2147   5708.03    85.25 
  81      94.88     354.91       252    669.97    29.21 
  82     111.08      79.62      1063   2826.10    59.99 
  83     103.47     242.49       337    895.95    33.78 
  84     114.77     122.33       912   2424.65    55.56 
  85     106.74     398.66       367    975.71    35.25 
  86      99.81     435.79        84    223.32    16.86 
  87     108.70     266.25       745   1980.66    50.22 
  88     109.71     420.08       473   1257.52    40.01 
  89     115.81     100.28       582   1547.31    44.39 
  90     110.46     338.19       331    880.00    33.47 
  91     110.22     370.37       336    893.29    33.72 
  92     107.40     445.18        99    263.20    18.31 
  93     116.73     465.75       791   2102.96    51.75 
  94     109.29     354.37       137    364.23    21.53 
  95     121.50     223.72      1262   3355.16    65.36 
  96     112.03     434.41       127    337.64    20.73 
  97     113.93     535.41       155    412.08    22.91 
  98     116.12     293.12       278    739.09    30.68 
  99     112.62     306.92        68    180.79    15.17 
 100     130.13     509.58      1701   4522.29    75.88 
 101     119.53     320.09       342    909.24    34.02 
 102     119.49     442.62       196    521.09    25.76 
 103     124.14     360.22       268    712.51    30.12 
 104     123.05     381.94       262    696.55    29.78 
 105     125.31     344.09       341    906.58    33.97 
 106     129.65     407.38       337    895.95    33.78 
 107     155.66      55.61      2954   7853.52   100.00 
 108     128.43     276.61       518   1377.16    41.87 
 109     122.29     305.79        94    249.91    17.84 
 110     160.44     383.14      1862   4950.33    79.39 
 111     133.06     424.16       477   1268.16    40.18 
 112     152.58     143.27      2022   5375.70    82.73 
 113     125.91     255.31        75    199.40    15.93 
 114     132.21     536.07       143    380.18    22.00 
 115     131.15     296.05       154    409.43    22.83 
 116     138.83     476.83       622   1653.65    45.89 
 117     135.73     318.48       537   1427.67    42.64 
 118     141.48     202.73       623   1656.31    45.92 
 119     135.97     440.80       303    805.56    32.03 
 120     134.46     371.69       219    582.23    27.23 
 121     141.80     104.76       827   2198.67    52.91 
 122     153.45     249.26      1564   4158.06    72.76 
 123     136.51     236.31       149    396.13    22.46 
 124     136.11     455.97       182    483.87    24.82 
 125     153.45     175.97       779   2071.05    51.35 
 126     141.58     351.12       353    938.49    34.57 
 127     142.57     224.31        92    244.59    17.65 
 128     178.11     306.36      4540  12070.07   123.97 
 129     143.31     275.77        61    162.17    14.37 
 130     141.50     284.06        64    170.15    14.72 
 131     144.82     330.00       118    313.72    19.99 
 132     155.15     411.61       559   1486.16    43.50 
 133     158.97     363.65       444   1180.42    38.77 
 134     148.62     233.33       103    273.84    18.67 
 135     158.53     443.29      1095   2911.17    60.88 
 136     161.99     489.13       865   2299.69    54.11 
 137     167.84     105.18      1258   3344.53    65.26 
 138     164.51     194.74       623   1656.31    45.92 
 139     160.15     342.89       644   1712.14    46.69 
 140     158.14     272.25       105    279.15    18.85 
 141     170.23     521.15      1446   3844.35    69.96 
 142     162.82      79.98       156    414.74    22.98 
 143     161.25     212.76       160    425.38    23.27 
 144     169.15     465.28       444   1180.42    38.77 
 145     177.12      10.51       635   1688.22    46.36 
 146     174.79     159.60       218    579.58    27.17 
 147     165.67     226.56        26     69.12     9.38 
 148     175.96     218.30       361    959.76    34.96 
 149     169.31     418.31        28     74.44     9.74 
 150     176.85     234.51       241    640.72    28.56 
 151     173.66     264.82       105    279.15    18.85 
 152     179.93     405.35       502   1334.62    41.22 
 153     184.86     429.25       643   1709.48    46.65 
 154     182.70      80.79       286    760.36    31.11 
 155     182.93     146.99       220    584.89    27.29 
 156     180.51      32.86       161    428.04    23.35 
 157     192.64     165.14       692   1839.76    48.40 
 158     189.70     192.07       849   2257.16    53.61 
 159     184.15     251.59       339    901.27    33.88 
 160     192.19     479.04      1089   2895.22    60.72 
 161     188.93     450.49       403   1071.42    36.93 
 162     189.82     537.07       121    321.69    20.24 
 163     186.30      45.81       156    414.74    22.98 
 164     198.48     123.72       979   2602.78    57.57 
 165     192.28     390.52       334    887.97    33.62 
 166     198.43      33.53       539   1432.99    42.71 
 167     191.63      96.31       172    457.28    24.13 
 168     197.83     243.43       396   1052.81    36.61 
 169     249.67     209.99      8081  21484.20   165.39 
 170     214.54     506.20      1873   4979.57    79.63 
 171     203.98      15.03       543   1443.62    42.87 
 172     204.70      51.83       417   1108.64    37.57 
 173     201.64      82.53       401   1066.10    36.84 
 174     210.85     418.11       857   2278.43    53.86 
 175     233.28     275.13      3003   7983.80   100.82 
 176     205.79     346.51       637   1693.53    46.44 
 177     204.53       1.16        41    109.00    11.78 
 178     206.58     532.10       322    856.07    33.01 
 179     203.21     371.05       196    521.09    25.76 
 180     207.16      66.19       240    638.07    28.50 
 181     208.39     100.31       358    951.78    34.81 
 182     203.99     383.41       125    332.33    20.57 
 183     226.55     449.54      2277   6053.65    87.79 
 184     219.96     399.56       745   1980.66    50.22 
 185     218.82     154.46      1299   3453.53    66.31 
 186     211.15     258.32       229    608.82    27.84 
 187     216.44     324.52       160    425.38    23.27 
 188     218.32     309.67       244    648.70    28.74 
 189     233.14     373.83      1603   4261.75    73.66 
 190     225.03      77.44       569   1512.75    43.89 
 191     219.57       2.00        43    114.32    12.06 
 192     222.64      11.39       295    784.29    31.60 
 193     219.66      35.32       203    539.70    26.21 
 194     218.92      58.33       108    287.13    19.12 
 195     222.46     111.63       260    691.24    29.67 
 196     227.73     127.25       331    880.00    33.47 
 197     226.32     339.57       562   1494.14    43.62 
 198     225.75      95.71       176    467.91    24.41 
 199     226.76      51.90       213    566.28    26.85 
 200     235.14     316.50       415   1103.32    37.48 
 201     234.28     535.81       184    489.18    24.96 
 202     231.99      27.23       353    938.49    34.57 
 203     238.22       4.24       180    478.55    24.68 
 204     249.30     506.61      1885   5011.47    79.88 
 205     237.01     105.04       212    563.62    26.79 
 206     238.22      64.32       217    576.92    27.10 
 207     243.02      45.30       519   1379.82    41.91 
 208     239.47      92.34       166    441.33    23.70 
 209     236.93     416.45        75    199.40    15.93 
 210     247.61     149.50       762   2025.86    50.79 
 211     247.69      11.72       260    691.24    29.67 
 212     248.24     115.51       412   1095.35    37.34 
 213     244.36     129.76       176    467.91    24.41 
 214     245.01     336.94       365    970.39    35.15 
 215     244.35      84.01       111    295.11    19.38 
 216     274.47     394.19      2298   6109.48    88.20 
 217     255.65     421.56       345    917.22    34.17 
 218     252.71     463.19       485   1289.42    40.52 
 219     249.21      23.55       148    393.47    22.38 
 220     256.35      72.01       522   1387.79    42.04 
 221     248.28     360.93       106    281.81    18.94 
 222     258.90     349.61       451   1199.03    39.07 
 223     254.55     311.86       336    893.29    33.72 
 224     256.81      88.89       185    491.84    25.02 
 225     260.76     104.34       349    927.85    34.37 
 226     269.94      40.00       836   2222.60    53.20 
 227     260.20      56.78       171    454.62    24.06 
 228     258.03     432.89       115    305.74    19.73 
 229     260.44     538.41        45    119.64    12.34 
 230     260.52     125.06       128    340.30    20.82 
 231     280.31     328.30      1169   3107.91    62.91 
 232     268.01     366.26       441   1172.45    38.64 
 233     264.19      20.80       342    909.24    34.02 
 234     261.63       3.70        79    210.03    16.35 
 235     270.49     284.86       728   1935.47    49.64 
 236     270.59     446.73       572   1520.72    44.00 
 237     262.04     137.00        91    241.93    17.55 
 238     274.68     473.24       635   1688.22    46.36 
 239     273.41     504.38       761   2023.20    50.75 
 240     271.35     308.60       371    986.34    35.44 
 241     269.99      90.01       155    412.08    22.91 
 242     276.96     147.96       442   1175.10    38.68 
 243     273.82     129.45       327    869.36    33.27 
 244     280.47       8.98       496   1318.67    40.98 
 245     281.85      59.67       584   1552.63    44.46 
 246     271.55      80.73        31     82.42    10.24 
 247     279.83     345.43       178    473.23    24.55 
 248     275.34     536.15        93    247.25    17.74 
 249     297.41     110.50      1950   5184.28    81.25 
 250     279.21     424.92       263    699.21    29.84 
 251     322.93     508.72      5475  14555.87   136.14 
 252     289.68      80.84       390   1036.86    36.33 
 253     289.34     253.78       507   1347.91    41.43 
 254     284.05     358.04       195    518.43    25.69 
 255     287.64     459.72       232    616.80    28.02 
 256     291.18     442.29       425   1129.91    37.93 
 257     289.82     300.56       396   1052.81    36.61 
 258     290.96     277.71       361    959.76    34.96 
 259     302.19      25.34       997   2650.63    58.09 
 260     292.87     173.05       496   1318.67    40.98 
 261     299.49     419.71       669   1778.61    47.59 
 262     289.54     135.67        83    220.66    16.76 
 263     306.60      55.81       860   2286.40    53.95 
 264     293.65     149.71       228    606.16    27.78 
 265     298.60     357.94       479   1273.47    40.27 
 266     299.38     266.87       147    390.82    22.31 
 267     300.23     462.87       151    401.45    22.61 
 268     307.24     135.49       281    747.07    30.84 
 269     341.79     169.28      5907  15704.39   141.41 
 270     305.17     293.16       221    587.55    27.35 
 271     302.84       3.73        81    215.35    16.56 
 272     313.78     316.25       708   1882.29    48.96 
 273     307.60     236.36       255    677.94    29.38 
 274     315.03     448.87       771   2049.79    51.09 
 275     311.14     253.06       379   1007.61    35.82 
 276     316.03     346.67       878   2334.26    54.52 
 277     311.21     402.65       457   1214.98    39.33 
 278     308.52      81.13       373    991.66    35.53 
 279     319.03     276.91       822   2185.37    52.75 
 280     313.94       8.16       141    374.86    21.85 
 281     322.96     377.03       727   1932.81    49.61 
 282     329.75     230.86       975   2592.14    57.45 
 283     320.05     299.42       195    518.43    25.69 
 284     323.43      73.10       409   1087.37    37.21 
 285     322.70      95.01       224    595.53    27.54 
 286     324.46       4.37       131    348.28    21.06 
 287     329.10      33.15       378   1004.95    35.77 
 288     319.04     354.08        44    116.98    12.20 
 289     338.62     414.59      1324   3520.00    66.95 
 290     328.16     432.89       335    890.63    33.67 
 291     323.61      16.86       100    265.86    18.40 
 292     332.98     126.74       362    962.42    35.01 
 293     334.31     263.08       331    880.00    33.47 
 294     341.83     296.83      1015   2698.49    58.62 
 295     340.45     330.23       733   1948.76    49.81 
 296     342.38     462.08       941   2501.75    56.44 
 297     334.42     108.71       247    656.68    28.92 
 298     348.94      52.01      1625   4320.24    74.17 
 299     333.68      87.72       178    473.23    24.55 
 300     337.51      14.67       375    996.98    35.63 
 301     339.50       1.46        46    122.30    12.48 
 302     337.43     355.20        89    236.62    17.36 
 303     344.20     365.85       251    667.31    29.15 
 304     342.25     440.77       190    505.14    25.36 
 305     341.09      79.42       140    372.20    21.77 
 306     346.41      98.19       283    752.39    30.95 
 307     351.02     256.47       601   1597.82    45.10 
 308     355.58     198.68       814   2164.11    52.49 
 309     355.13     391.58      1267   3368.45    65.49 
 310     368.71     337.65      1588   4221.87    73.32 
 311     360.64     220.55       664   1765.31    47.41 
 312     362.69     121.57      1182   3142.47    63.25 
 313     369.59      78.03      1493   3969.30    71.09 
 314     358.85       5.79       302    802.90    31.97 
 315     351.62      21.53       200    531.72    26.02 
