No.	Centroid-x	Centroid-y	Area(pixel2)	Area(um2)	EQAD(um)
   1      10.27      17.07       752   1999.27    50.45 
   2       6.28      50.30       294    781.63    31.55 
   3      13.22      80.96       646   1717.46    46.76 
   4       5.69      97.71       279    741.75    30.73 
   5       7.58     119.48       296    786.95    31.65 
   6      14.17     147.82      1169   3107.91    62.91 
   7       8.13     177.18       275    731.12    30.51 
   8      62.39     220.85     15587  41439.70   229.70 
   9       4.98     266.93       268    712.51    30.12 
  10       2.00     294.69        84    223.32    16.86 
  11       9.74     315.72       489   1300.06    40.69 
  12       3.21     334.02        85    225.98    16.96 
  13      14.96     368.40       708   1882.29    48.96 
  14       2.89     372.80        73    194.08    15.72 
  15       7.90     384.26       205    545.01    26.34 
  16       3.98     399.40       149    396.13    22.46 
  17      20.37     426.07      2393   6362.05    90.00 
  18      10.69     472.64       731   1943.44    49.74 
  19       9.37     508.19       727   1932.81    49.61 
  20      32.17     527.93      1203   3198.30    63.81 
  35      35.31       2.84       111    295.11    19.38 
  50      60.01       3.32       189    502.48    25.29 
  56      54.86     538.29        35     93.05    10.88 
  65      67.44     535.94       136    361.57    21.46 
  72     127.40       9.55      1221   3246.16    64.29 
  76      97.40     519.63      1092   2903.20    60.80 
  79      84.70     536.72        96    255.23    18.03 
  97     113.93     535.41       155    412.08    22.91 
 100     130.13     509.58      1701   4522.29    75.88 
 114     132.21     536.07       143    380.18    22.00 
 141     170.23     521.15      1446   3844.35    69.96 
 145     177.12      10.51       635   1688.22    46.36 
 162     189.82     537.07       121    321.69    20.24 
 177     204.53       1.16        41    109.00    11.78 
 178     206.58     532.10       322    856.07    33.01 
 191     219.57       2.00        43    114.32    12.06 
 201     234.28     535.81       184    489.18    24.96 
 203     238.22       4.24       180    478.55    24.68 
 204     249.30     506.61      1885   5011.47    79.88 
 211     247.69      11.72       260    691.24    29.67 
 229     260.44     538.41        45    119.64    12.34 
 234     261.63       3.70        79    210.03    16.35 
 244     280.47       8.98       496   1318.67    40.98 
 248     275.34     536.15        93    247.25    17.74 
 251     322.93     508.72      5475  14555.87   136.14 
 271     302.84       3.73        81    215.35    16.56 
 280     313.94       8.16       141    374.86    21.85 
 286     324.46       4.37       131    348.28    21.06 
 301     339.50       1.46        46    122.30    12.48 
 314     358.85       5.79       302    802.90    31.97 
 335     387.87     529.87       707   1879.63    48.92 
 340     417.78      46.28      7352  19546.08   157.76 
 363     407.50     538.60        19     50.51     8.02 
 368     422.67     531.93       509   1353.23    41.51 
 396     453.52     534.35       210    558.31    26.66 
 410     477.64     536.85       187    497.16    25.16 
 420     539.18      31.06      6736  17908.37   151.00 
 430     499.71     525.86       651   1730.75    46.94 
 443     523.30     529.19       436   1159.15    38.42 
 449     540.05     536.41       153    406.77    22.76 
 450     566.50     385.90      4074  10831.16   117.43 
 467     567.10     533.71       242    643.38    28.62 
 469     582.70     512.90      1762   4684.46    77.23 
 474     579.81     324.86      1164   3094.62    62.77 
 475     587.26     443.16      2342   6226.46    89.04 
 476     585.28     108.76      1020   2711.78    58.76 
 482     587.27     247.58      1707   4538.24    76.01 
 486     590.48     192.20      1125   2990.93    61.71 
 488     588.34     143.54       595   1581.87    44.88 
 490     594.71     351.29       386   1026.22    36.15 
 491     594.97     305.30       332    882.66    33.52 
 492     597.30     127.36       131    348.28    21.06 
 493     598.41      78.48       117    311.06    19.90 
 494     598.70      51.05       141    374.86    21.85 
 495     598.71     282.57        59    156.86    14.13 
 496     599.16     155.13        46    122.30    12.48 
